Study,T,Mean,SD,N,covar.age,rob,indirectness,rob.randomisation,rob.allocation_concealment,rob.blinding_(participants_and_personnel),rob.blinding_(outcomes),rob.attrition,rob.reporting,rob.other_bias
Study20,Placebo,1,1.8,25,52.5,3,1,1,2,1,1,3,2,3
Study20,Ketamine,0.5,1.7,55,52.5,3,1,1,2,1,1,3,2,3
Study21,Placebo,0.1,0.7,38,48.3,1,1,1,1,1,1,1,3,1
Study21,Ketamine,0.2,0.7,39,48.3,1,1,1,1,1,1,1,3,1
Study22,Placebo,0.8,1.1,30,63.8,3,1,1,2,1,1,3,2,1
Study22,Ketamine,0.8,0.9,31,63.8,3,1,1,2,1,1,3,2,1
Study23,Placebo,3.4,1.6,10,60.2,3,1,1,1,1,1,3,2,1
Study23,Gabapentinoids,3.1,1.7,21,60.2,3,1,1,1,1,1,3,2,1
Study24,Placebo,0,0.7,53,60.2,3,1,1,1,1,1,3,2,1
Study24,Gabapentinoids,0,0.7,65,60.2,3,1,1,1,1,1,3,2,1
Study25,Placebo,0.6,0.9,20,60.1,3,1,1,2,1,1,1,2,1
Study25,Gabapentinoids,0.2,0.4,20,60.1,3,1,1,2,1,1,1,2,1
Study26,Placebo,0.6,0.1,35,41.5,3,1,1,2,1,2,3,2,1
Study26,Gabapentinoids,0.5,0.9,27,41.5,3,1,1,2,1,2,3,2,1
Study27,Placebo,2.2,1.4,22,65,3,1,1,1,1,1,3,3,3
Study27,Gabapentinoids,2.6,1.7,23,65,3,1,1,1,1,1,3,3,3
Study28,Placebo,2.5,1,4,34.5,1,1,1,1,1,1,3,1,1
Study28,Gabapentinoids,3,0.8,2,34.5,1,1,1,1,1,1,3,1,1
Study29,Placebo,1.2,1.5,30,47.7,2,1,1,1,1,1,1,2,1
Study29,Gabapentinoids,0.5,0.9,60,47.7,2,1,1,1,1,1,1,2,1
Study30,Placebo,2.2,0.9,50,43.5,3,1,2,1,1,2,1,3,1
Study30,Gabapentinoids,2.1,1.2,50,43.5,3,1,2,1,1,2,1,3,1
Study31,Placebo,0.2,0.1,20,56.9,3,1,2,2,1,1,1,2,1
Study31,Gabapentinoids,0.1,0.1,20,56.9,3,1,2,2,1,1,1,2,1
Study32,Placebo,2,1.5,29,24,1,1,1,2,1,1,1,2,1
Study32,Gabapentinoids,1,0.6,30,24,1,1,1,2,1,1,1,2,1
Study33,Placebo,1.1,1.5,24,40,3,1,1,1,1,1,3,1,1
Study33,Gabapentinoids,0.9,1.2,17,40,3,1,1,1,1,1,3,1,1
Study34,Placebo,3,1.9,49,62.4,3,1,1,1,1,1,3,1,3
Study34,Gabapentinoids,2,1.5,50,62.4,3,1,1,1,1,1,3,1,3
Study35,Placebo,2,2.5,28,66.5,2,1,1,1,1,1,3,3,3
Study35,Gabapentinoids,1.8,2,83,66.5,2,1,1,1,1,1,3,3,3
Study36,Placebo,3.4,1.4,100,50.9,3,1,1,1,1,1,1,2,1
Study36,Gabapentinoids,2.5,1.2,100,50.9,3,1,1,1,1,1,1,2,1
Study37,Placebo,1.9,2,24,43.5,3,1,2,2,1,1,1,2,1
Study37,Gabapentinoids,1.5,1.9,22,43.5,3,1,2,2,1,1,1,2,1
Study38,Placebo,0,0.7,48,50.5,3,1,1,1,1,1,1,2,1
Study38,Gabapentinoids,0,2.1,52,50.5,3,1,1,1,1,1,1,2,1
Study39,Placebo,3,0.8,31,67.1,3,1,1,2,1,1,1,3,1
Study39,Gabapentinoids,2,0.5,62,67.1,3,1,1,2,1,1,1,3,1
Study40,Placebo,1.5,2,20,39.1,3,1,2,1,1,2,1,2,3
Study40,Gabapentinoids,1.1,1.6,18,39.1,3,1,2,1,1,2,1,2,3
Study41,Placebo,0.5,1.5,18,70.3,2,1,1,1,1,1,3,2,2
Study41,Gabapentinoids,1,1.5,16,70.3,2,1,1,1,1,1,3,2,2
Study42,Placebo,0,0.7,46,68.5,2,1,1,2,3,1,1,3,3
Study42,Gabapentinoids,0,0.7,46,68.5,2,1,1,2,3,1,1,3,3
Study43,Placebo,1.5,2.8,27,52.1,2,1,1,1,1,1,3,3,2
Study43,Gabapentinoids,1.3,2.2,27,52.1,2,1,1,1,1,1,3,3,2
Study44,Placebo,0.03,0.2,35,43.1,3,1,1,2,1,1,1,2,1
Study44,Gabapentinoids,0.4,0.9,70,43.1,3,1,1,2,1,1,1,2,1
Study45,Placebo,1.2,1.7,76,62.9,3,1,1,1,1,1,3,2,3
Study45,Gabapentinoids,1.4,1.7,75,62.9,3,1,1,1,1,1,3,2,3
